-180	0	0.0625
-170	0.466	0.0993
-160	0.428	0.2053
-150	0.465	0.3674
-140	0.484	0.5656
-130	0.462	0.7755
-120	0.396	0.971
-110	0.289	1.1278
-100	0.152	1.2261
-90	0	1.253
-80	-0.1692	1.2261
-70	-0.3193	1.1278
-60	-0.436	0.971
-50	-0.5087	0.7755
-40	-0.535	0.5656
-30	-0.5184	0.3674
-20	-0.4825	0.2053
-10	-0.5208	0.0992
-9	-0.5199	0.088
-8	-0.5166	0.0765
-7	-0.51	0.065
-6	-0.4993	0.0537
-5	-0.4838	0.0428
-4.5	-0.4277	0.0378
-4	-0.3713	0.0341
-3.5	-0.3149	0.031
-3	-0.2584	0.0285
-2.5	-0.2017	0.0265
-2	-0.1451	0.0249
-1.5	-0.0883	0.0237
-1	-0.0314	0.0228
-0.5	0.0255	0.0218
0	0.0824	0.0221
0.5	0.1393	0.022
1	0.1963	0.0221
1.5	0.2532	0.0224
2	0.3101	0.0231
2.5	0.3669	0.0239
3	0.4237	0.0252
3.5	0.4804	0.0265
4	0.537	0.0282
4.5	0.5935	0.0305
5	0.65	0.0338
5.5	0.7063	0.0382
6	0.7625	0.0422
6.5	0.7619	0.0495
7	0.7603	0.0625
7.5	0.7579	0.0807
8	0.7544	0.0926
8.5	0.75	0.1019
9	0.7456	0.1099
9.5	0.7423	0.1179
10	0.741	0.127
11	0.7482	0.1482
12	0.7679	0.1708
13	0.797	0.1946
14	0.8322	0.2191
15	0.8706	0.2441
16	0.909	0.2693
17	0.9442	0.2943
18	0.9733	0.3188
19	0.993	0.3425
20	1.0002	0.365
25	0.9534	0.4683
30	0.8794	0.5668
35	0.8284	0.6597
40	0.7807	0.7487
45	0.7354	0.8359
50	0.689	0.9183
60	0.5803	1.0627
70	0.4187	1.1705
80	0.2183	1.2351
90	0	1.253
100	-0.152	1.2261
110	-0.289	1.1278
120	-0.396	0.971
130	-0.462	0.7755
140	-0.484	0.5656
150	-0.465	0.3674
160	-0.428	0.2053
170	-0.466	0.0993
180	0	0.0625
