1	0.0046	-0.0046
0.975	0.0079	-0.0058
0.95	0.011	-0.0069
0.9	0.0173	-0.009
0.85	0.0236	-0.0111
0.8	0.0298	-0.0133
0.75	0.0358	-0.0156
0.7	0.0418	-0.0181
0.65	0.0477	-0.0209
0.6	0.0535	-0.0241
0.55	0.059	-0.0274
0.5	0.0642	-0.031
0.45	0.0688	-0.0346
0.4	0.0728	-0.0382
0.35	0.0759	-0.0416
0.3	0.0779	-0.0447
0.25	0.0786	-0.047
0.2	0.0774	-0.0484
0.15	0.0734	-0.0482
0.1	0.0652	-0.0453
0.075	0.0586	-0.042
0.05	0.0492	-0.0366
0.025	0.035	-0.0273
0.0125	0.0242	-0.0195
0.0075	0.0182	-0.015
0.005	0.0148	-0.0123
0.0025	0.0097	-0.0084
0.001	0.0056	-0.0054
0	0	0
